2022.05.17 15:06:02 WARN  no build target for: C:\Users\HP\Desktop\scalaP\app\controllers\TournamentController.scala
2022.05.17 15:06:06 WARN  no build target for: C:\Users\HP\Desktop\scalaP\app\controllers\TournamentController.scala
2022.05.17 15:06:14 WARN  no build target for: C:\Users\HP\Desktop\scalaP\app\controllers\TournamentController.scala
2022.05.17 15:06:30 WARN  no build target for: C:\Users\HP\Desktop\scalaP\app\controllers\TournamentController.scala
2022.05.17 15:06:54 WARN  no build target for: C:\Users\HP\Desktop\scalaP\app\controllers\TournamentController.scala
2022.05.17 15:07:42 WARN  no build target for: C:\Users\HP\Desktop\scalaP\app\controllers\TournamentController.scala
2022.05.17 15:07:45 WARN  no build target for: C:\Users\HP\Desktop\scalaP\app\controllers\TournamentController.scala
2022.05.17 15:07:55 WARN  no build target for: C:\Users\HP\Desktop\scalaP\app\controllers\TournamentController.scala
2022.05.17 15:07:58 WARN  no build target for: C:\Users\HP\Desktop\scalaP\app\controllers\TournamentController.scala
2022.05.17 15:08:03 WARN  no build target for: C:\Users\HP\Desktop\scalaP\app\controllers\TournamentController.scala
2022.05.17 15:08:08 WARN  no build target for: C:\Users\HP\Desktop\scalaP\app\controllers\TournamentController.scala
2022.05.17 15:08:10 WARN  no build target for: C:\Users\HP\Desktop\scalaP\app\controllers\TournamentController.scala
2022.05.17 15:08:13 WARN  no build target for: C:\Users\HP\Desktop\scalaP\app\controllers\TournamentController.scala
2022.05.17 15:08:28 WARN  no build target for: C:\Users\HP\Desktop\scalaP\app\controllers\TournamentController.scala
2022.05.17 15:08:30 WARN  no build target for: C:\Users\HP\Desktop\scalaP\app\controllers\TournamentController.scala
maj 17, 2022 3:08:33 PM org.eclipse.lsp4j.jsonrpc.RemoteEndpoint handleCancellation
WARNING: Unmatched cancel notification for request id 648
2022.05.17 15:08:36 WARN  no build target for: C:\Users\HP\Desktop\scalaP\app\controllers\TournamentController.scala
2022.05.17 15:09:19 WARN  no build target for: C:\Users\HP\Desktop\scalaP\app\controllers\TournamentController.scala
2022.05.17 15:10:15 WARN  no build target for: C:\Users\HP\Desktop\scalaP\app\controllers\TournamentController.scala
2022.05.17 15:10:26 WARN  no build target for: C:\Users\HP\Desktop\scalaP\app\controllers\TournamentController.scala
2022.05.17 15:10:29 WARN  no build target for: C:\Users\HP\Desktop\scalaP\app\controllers\TournamentController.scala
2022.05.17 15:10:47 WARN  no build target for: C:\Users\HP\Desktop\scalaP\app\controllers\TournamentController.scala
2022.05.17 15:11:14 WARN  no build target for: C:\Users\HP\Desktop\scalaP\app\controllers\TournamentController.scala
